FRB110703,0.657,0.681
FRB180714,0.986,1.021
FRB151206,1.064,1.098
FRB180311,0.949,1.051
FRB130628,0.329,0.359
FRB180301,0.981,1.021
FRB180923,-0.04,0.06
FRB150807,0.226,0.249
FRB150418,0.491,0.511
FRB130729,0.515,0.589
FRB110214,0.174,0.201
FRB120127,0.371,0.405
FRB010621,0.369,0.421
FRB171209,0.992,1.007
FRB090625,0.548,0.573
FRB110626,0.464,0.489
FRB121002,0.927,0.958
FRB110220,0.574,0.634
FRB150610,0.911,0.929
FRB160102,1.427,1.448
FRB150215,0.655,0.687
FRB010125,1.296,1.329
FRB130626,0.582,0.601
FRB151230,0.581,0.619
FRB140514,0.379,0.403
FRB131104,0.456,0.541
FRB180309,0.511,0.514
